ratio,n,n_pos,zero_share,dist,aic,bic,ks_p,n_fit,params
draw_ratio,26590,13801,0.48097028958254984,beta,-26863.70373350662,-26833.62391288891,1.201076789859952e-58,13629,"(np.float64(0.7510033355524778), np.float64(4.608071154254166), 0, 1)"
draw_ratio,26590,13801,0.48097028958254984,fisk,-26049.25612710676,-26026.658638109897,7.977307977900687e-13,13801,"(np.float64(1.3784793932670247), 0, np.float64(0.07840101814523287))"
draw_ratio,26590,13801,0.48097028958254984,lognorm,-25412.659849144187,-25390.062360147323,1.2727327638358318e-43,13801,"(np.float64(1.329709691918279), 0, np.float64(0.07245436383978945))"
draw_ratio,26590,13801,0.48097028958254984,weibull_min,-24525.357263274233,-24502.75977427737,2.6534483352401765e-33,13801,"(np.float64(0.7771471490891928), 0, np.float64(0.13503345703361438))"
draw_ratio,26590,13801,0.48097028958254984,gamma,-22992.582520079515,-22969.98503108265,1.4613538162493474e-86,13801,"(0.7241737937527815, 0, np.float64(0.22958928830784453))"
draw_ratio,26590,13801,0.48097028958254984,logitnorm,,,,0,error: module 'scipy.stats' has no attribute 'logitnorm'
rc_ratio_given_rep,5417,1231,0.7727524460033228,beta,-170.0028173873111,-151.78708377120785,0.04858042354718328,702,"(np.float64(0.5957380021333178), np.float64(0.8925251972723275), 0, 1)"
rc_ratio_given_rep,5417,1231,0.7727524460033228,fisk,2128.945499381819,2144.292245760372,3.218460314273182e-73,1231,"(np.float64(1.4182133003690982), 0, np.float64(0.5352027250162779))"
rc_ratio_given_rep,5417,1231,0.7727524460033228,weibull_min,2422.895601659898,2438.2423480384514,2.0494793719937918e-89,1231,"(np.float64(0.6783876271650238), 0, np.float64(0.8203407320513837))"
rc_ratio_given_rep,5417,1231,0.7727524460033228,lognorm,2649.939867726264,2665.286614104817,1.6865373441041514e-80,1231,"(np.float64(1.6498778168300148), 0, np.float64(0.42923936606231583))"
rc_ratio_given_rep,5417,1231,0.7727524460033228,gamma,2870.2111361466586,2885.557882525212,1.2039577232272955e-154,1231,"(0.531822658278436, 0, np.float64(2.6346750826778944))"
rc_ratio_given_rep,5417,1231,0.7727524460033228,logitnorm,,,,0,error: module 'scipy.stats' has no attribute 'logitnorm'
rep_ratio,26365,5373,0.7962070927365826,weibull_min,-12541.086284260364,-12521.318859188177,0.00032646979584829733,5373,"(np.float64(0.6952654179842617), 0, np.float64(0.10242617306492412))"
rep_ratio,26365,5373,0.7962070927365826,gamma,-12474.016786878004,-12454.249361805818,7.30075408365295e-10,5373,"(0.5810168651347503, 0, np.float64(0.2241729866254715))"
rep_ratio,26365,5373,0.7962070927365826,fisk,-11920.350968047018,-11900.583542974831,1.4190031585053921e-11,5373,"(np.float64(0.9996750991480485), 0, np.float64(0.05129155376283106))"
rep_ratio,26365,5373,0.7962070927365826,beta,-11723.245035760818,-11696.890703010806,2.235600312990564e-34,5370,"(np.float64(0.45457157846649454), np.float64(2.4929449004460236), 0, 1)"
rep_ratio,26365,5373,0.7962070927365826,lognorm,-11647.517852879842,-11627.750427807656,1.1245052664320557e-14,5373,"(np.float64(1.828404634081418), 0, np.float64(0.04474238463726623))"
rep_ratio,26365,5373,0.7962070927365826,logitnorm,,,,0,error: module 'scipy.stats' has no attribute 'logitnorm'
