Adj Strategy,n_pre,n_post,draw_p_mult,draw_ratio_mult,p_value_draw_prob,p_value_draw_ratio
ALL,21888,8628,0.6932707509770599,0.5025393294488097,,
Business Angels,1326,463,0.9234146692578997,0.8875687649100742,0.0006816222127259408,0.0009344474146344394
Hybrid Debt-Equity,1514,605,0.7800611639162925,0.5970578339380606,0.0,8.616659919901057e-68
Infrastructure,277,0,1.0,1.0,,
Other Private Debt,662,200,0.8584117647058823,0.8264213509133362,3.1530333899354446e-14,9.897649054836919e-25
Private Equity,7633,3150,0.689455671161527,0.3881977142682569,0.0,1.9109778677622028e-262
Special Structure/ FoF,184,146,0.913868372642157,1.0,5.741008831883221e-06,0.8893393863361814
TTA,912,496,0.8601307189542484,0.8321146592756474,2.3225865675158275e-13,9.497470392269987e-19
Venture Capital,9380,3568,0.6104927068492817,0.4530301583518753,0.0,2.3508597165147055e-281
